employee_id,age,tenure_years,job_role,performance_score,training_hours,satisfaction_level,salary,work_life_balance,absenteeism_days,manager_rating,overtime_hours,promotion_last_2y,attrition
1,25,16,Analyste RH,3.7703684585995583,12.405869332938666,0.6203641226206597,5406.0,2.8387705688191986,1,3.6408941585421233,8,0,0
2,52,14,Expert Sinistres,2.4203111587858204,11.868322818000628,0.3174717954797556,6027.0,4.889379546017354,7,1.0,2,0,1
3,48,11,Commercial,2.3169926219300705,23.453892413800908,0.33699417889244926,8086.0,4.385059627048641,33,,26,0,0
4,39,17,Commercial,3.36776476401199,13.11119846402395,0.3237672137018452,6632.0,3.354478954995457,11,2.951013511939048,21,0,1
5,39,2,Back Office,3.7908425939722523,17.97245040178796,0.6982905179879181,3155.0,2.9747057344350476,-2,4.486038893515147,54,0,0
6,56,18,Expert Sinistres,3.0322052016003704,17.259141150179502,1.0,2037.0,3.844201190692885,28,3.964679394163617,62,1,0
7,25,17,Commercial,1.9708853319330422,20.594921391520067,0.8724916488000425,5855.0,4.1299703941075565,26,1.8663083144531993,28,0,0
8,49,10,Expert Sinistres,1.9117933069685382,38.225043315231225,,5344.0,2.170181617792471,-1,4.24213861862758,53,0,0
9,30,14,Back Office,1.858290878251007,31.619475894305168,0.8842151876139568,7699.0,2.9225611323677976,-1,2.737685474419005,2,1,1
10,25,10,Actuaire,1.5859023096484952,25.16129415276004,0.7872800834029294,5485.0,1.1780417704319197,2,2.095546773703955,51,0,0
11,43,5,Commercial,3.08758828755767,20.389737194191618,0.2909400108942484,5007.0,4.123102110260895,-1,3.1971032508712023,5,0,0
12,61,15,Commercial,3.9000351373664204,20.66767343376979,0.5393596766579005,3742.0,5.0,23,2.7972306443361816,46,0,0
13,51,4,Expert Sinistres,2.989267370460153,28.277464699519495,0.8191044822991619,2352.0,3.0800826246230857,2,4.538465314028524,25,0,1
14,52,6,Analyste RH,1.191668194129718,30.841690733522903,0.710086702186957,7408.0,1.0,23,3.34062202849121,27,0,0
15,50,10,Actuaire,2.847391631732361,15.923824938993995,0.33818098952240283,7086.0,3.608890516577031,4,3.205658920886006,17,0,1
16,53,16,Conseiller Client,2.8697608026939143,25.364807556142313,0.7221484311592388,2841.0,2.09591083385092,38,3.90064708285544,27,0,1
17,42,7,Commercial,4.676799000180352,4.6838043133697305,0.1724998807838824,6304.0,2.33665055833554,28,4.092871618092712,60,0,0
18,27,9,Back Office,1.834289669664355,27.11713784170597,0.5554355648485577,4130.0,3.626576389791004,13,3.7836050942972994,56,1,1
19,55,0,Back Office,2.6874579179206433,32.62149241958686,0.8275913538800097,4597.0,3.2545541255127244,15,4.419463472814954,22,0,1
20,40,2,Commercial,4.364682144435651,22.199313731191246,,7231.0,2.5118912246613982,-1,3.6086824129137884,19,0,0
21,42,1,Conseiller Client,3.3599826730772384,43.16526996140105,0.5002124900076108,7188.0,2.3503943673983354,-1,3.167651464726702,34,0,0
22,36,1,Actuaire,3.45065045881314,16.187615525639494,0.7778692507544698,3020.0,3.125836055220833,20,4.239172062088029,47,0,0
23,29,17,Actuaire,3.0916675496191024,27.17440415303261,0.7949503630173163,3768.0,2.5905344474876326,-3,2.9091038599178614,11,0,0
24,59,16,Actuaire,3.2639548309258117,24.641752533340444,0.8620079385733901,7056.0,1.8907628663969926,131,3.0332465163446614,50,0,0
25,53,16,Expert Sinistres,3.6220876242228286,23.997023325565916,0.7748684856892775,7668.0,2.66743681852164,13,4.721576917296915,66,1,0
26,47,1,Commercial,2.352410944885787,23.856778319952525,0.8162749587874293,2306.0,3.339592623255184,3,4.621924127955231,58,0,0
27,38,1,Actuaire,3.7024468631265597,26.07105030009472,0.7465817114875068,7135.0,2.8218965331803667,20,2.991824193076677,37,0,0
28,54,5,Analyste RH,1.9015975864915686,33.479587434637,0.6531057298232944,4931.0,1.5864914017518148,20,2.5464484226943833,21,0,0
29,43,11,Actuaire,3.2626943782652305,38.77736236274744,0.6179017999527628,5577.0,3.9890646213755394,29,4.463173500208498,21,0,0
